ad_type,city,cname,day,deliver,ftype,invite,maxsal,minsal,name,refresh,type,url,uuid
f,杭州,Eigen,4,False,1,False,280,150,数据挖掘工程师,05-14,intern,https://sxsimg.xiaoyuanzhao.com/4B/A8/4BFE3EA584B85AE250A61226FDBBF9A8.png,inn_rxbesnrfvcbs
f,杭州,Eigen,5,False,1,False,300,200,算法实习生,05-14,intern,https://sxsimg.xiaoyuanzhao.com/4B/A8/4BFE3EA584B85AE250A61226FDBBF9A8.png,inn_aj5cwnuv7wak
f,北京,地平线机器人,4,False,1,False,215,160,数据运营实习生,05-14,intern,https://sxsimg.xiaoyuanzhao.com/91/93/916DADE1DC8147932B7114E15E230593.jpg,inn_riqllu2bj0b0
f,上海,百分点科技,4,False,1,False,300,160,实习建模分析师,05-14,intern,https://sxsimg.xiaoyuanzhao.com/D1/BE/D1EEC8358B802CD480D1433E6B5DF3BE.jpg,inn_eroym6u3r94y
f,北京,洋葱数学,3,False,1,False,300,150,数据挖掘实习生,05-14,intern,https://sxsimg.xiaoyuanzhao.com/A5/73/A508049AA390E2BA15DBB8276B9E5E73.jpg,inn_xmdpuc2vwrdm
f,成都,实验楼,3,False,1,False,200,150,机器学习实验设计实习生,05-14,intern,https://sxsimg.xiaoyuanzhao.com/company_logo/2015-18/4HIgW3hO8ZSM0VN.png,inn_9z3ms4bscdaq
f,武汉,光庭信息,5,False,1,False,100,80,在线导航/地图数据编译/数据挖掘开发工程师,05-14,intern,https://sxsimg.xiaoyuanzhao.com/87/60/8723CC9B75C81F39735EB345594DF160.png,inn_vsczo3coeapq
f,南京,指食针,5,False,1,False,120,80,数据处理方向/数据处理实习岗,05-14,intern,https://sxsimg.xiaoyuanzhao.com/88/0B/88742F8A185F6EF61D95EA26CC8F5D0B.png,inn_87iwibwusi4z
f,上海,长江众创,3,False,1,False,200,150,数据分析师,05-14,intern,https://sxsimg.xiaoyuanzhao.com/46/29/4620514FBC1ED3975DE632C50402D829.png,inn_0zghvkbpqmqz
f,北京,作业帮,3,False,1,False,300,200,数据挖掘/算法实习生,05-14,intern,https://sxsimg.xiaoyuanzhao.com/E5/85/E58244132DAD06C9B21180DDE2E4C585.jpg,inn_cosncbzwsg9d
f,北京,凤凰网新媒体,5,False,1,False,147,120,数据分析实习生,05-14,intern,https://sxsimg.xiaoyuanzhao.com/company_logo/2015-30/eKVARhiFjZmDQJS.jpg,inn_ugwnyo9ztz2g
f,北京,作业帮,4,False,1,False,300,200,算法/数据挖掘实习生,05-14,intern,https://sxsimg.xiaoyuanzhao.com/E5/85/E58244132DAD06C9B21180DDE2E4C585.jpg,inn_xuruwz0zcm2w
f,合肥,科大讯飞,5,False,1,False,110,90,数据挖掘工程师-19届实习生招聘,05-14,intern,https://sxsimg.xiaoyuanzhao.com/77/72/7774A47E38626DAC0842477A36969872.jpg,inn_s2lkphi6vsin
f,北京,彩虹无线,3,False,1,False,300,200,数据挖掘,05-14,intern,https://sxsimg.xiaoyuanzhao.com/0B/4B/0B7354037831F82C7C75D9254A246A4B.jpg,inn_und1qahqjqke
f,北京,思图场景,3,False,1,False,200,100,研发工程师助理,05-14,intern,https://sxsimg.xiaoyuanzhao.com/1F/2E/1F0A427286413E193322C7ED317EC62E.jpg,inn_5kqojkrmgw2p
f,北京,思图场景,5,False,1,False,199,120,数据运营实习生,05-14,intern,https://sxsimg.xiaoyuanzhao.com/1F/2E/1F0A427286413E193322C7ED317EC62E.jpg,inn_ct2anw277irq
