monthSales,originalPrice,praiseContent,price,productName,productSpuId,productStatus,promotionInfo,wmPoiId,city,province,store
0,55,赞0,55,超级好吃妃子笑荔枝 一份2000g,1548780506,0,,1041410492000315,赤峰,内蒙古自治区,寻鲜记生鲜超市
0,20,赞0,20,中国 妃子笑 冰冻荔枝,1422608069,0,,923058373161842,赤峰,内蒙古自治区,甜可水果捞副食
36,18,赞0,18,妃子笑 500g,268018825,0,,907630850614205,呼伦贝尔,内蒙古自治区,刘三水果店
31,19,赞0,19,小核的妃子笑荔枝/斤,1528489725,0,,886868978730754,呼伦贝尔,内蒙古自治区,爱果者果品批发零售
44,15.8,赞0,15.8,妃子笑荔枝(斤),834525150,0,,892491090894005,呼伦贝尔,内蒙古自治区,晓梅蔬菜水果园
0,24,赞0,24,妃子笑奶盖茶,1172606739,0,,931472214074444,呼伦贝尔,内蒙古自治区,占卟茶
2,11,赞0,11,妃子笑,1521307964,0,,980696834257943,呼伦贝尔,内蒙古自治区,FOR YOU潮饮吧（一中店）
0,16,赞0,16,妃子笑荔枝/500g 500g,1524065678,0,,944967001339550,呼伦贝尔,内蒙古自治区,喜大生鲜超市
21,9.9,赞0,9.9,空运妃子笑荔枝半斤,1534559976,0,,918192175247583,通辽,内蒙古自治区,果色果香精品水果
25,12,赞1,12,百香妃子笑,899336268,0,,1043244443036941,通辽,内蒙古自治区,遇见奶牛(奶茶小吃)
0,16,赞0,16,翡翠妃子笑,1112009512,0,,1017942790665492,通辽,内蒙古自治区,卡诺琳花式格调
0,20,赞0,20,妃子笑,1521822502,0,,889832506131150,通辽,内蒙古自治区,大龙水果干果精品店
0,13,赞0,13,妃子笑荔枝/500g 500g,1540086258,0,,954377274706393,通辽,内蒙古自治区,旺客福超市
4,29.9,赞0,29.9,妃子笑荔枝,1525411626,0,,990983280983118,鄂尔多斯,内蒙古自治区,悠悠果业（恒森嘉园店）
4,30,赞0,30,广西 妃子笑 荔枝 肉大核小超甜,855598498,0,,847784776333064,巴彦淖尔,内蒙古自治区,西安小罗精品果蔬
1,28,赞0,28,海南妃子笑荔枝,1525574323,0,,1013252686387514,巴彦淖尔,内蒙古自治区,鲜品汇连锁生鲜超市（解放店）
60,8,赞3,8,荔枝（妃子笑） 250克,245376910,0,,1054527322066062,牙克石,内蒙古自治区,力强水果批发部
0,16,赞0,16,妃子笑奶盖,1349041015,0,,1096622296585139,牙克石,内蒙古自治区,答案茶（凯沁店）
0,10.8,赞0,10.8,妃子笑,84905176,0,,1090098241216575,牙克石,内蒙古自治区,鸡排炸串高志远鸡排店（八道街店）
72,14.8,赞0,14.8,妃子笑荔枝 500g,1519623450,0,,896884842466399,乌兰浩特,内蒙古自治区,金色果园尚品水果超市（五一店）
1,11.9,赞0,11.9,妃子笑荔枝 /斤,814751078,0,,1091945077166627,乌兰浩特,内蒙古自治区,金色果园（市医院店）
1,35,赞0,35,妃子笑,1522241248,0,,1074945596645757,乌兰浩特,内蒙古自治区,金航精品鲜果超市
0,12.99,赞0,12.99,妃子笑,895788980,0,,997661955100067,乌兰浩特,内蒙古自治区,捞汁小海鲜排骨米饭（辣丁派）
0,9,赞0,9,妃子笑,1014178077,0,,882324903359708,霍林郭勒,内蒙古自治区,美思蜜可（阳光小区店）
25,39.8,赞0,39.8,海南 妃子笑荔枝 500g,1471800547,0,,1046620287284033,锡林浩特,内蒙古自治区,小黑新鲜水果
2,30,赞0,30,妃子笑芝芝,1158426927,0,,900282161600899,锡林浩特,内蒙古自治区,小确茶（冷饮、炸鸡）
0,11,赞0,11,玫瑰洛神妃子笑,1366975155,0,,1008493862587305,丰镇,内蒙古自治区,唯一
60,15.8,赞0,8.8,(尝鲜装)海南妃子笑荔枝,1518624951,0,5.57折,1024522680549777,沈阳,辽宁省,sweet鲜果驿站(中街店)
11,11.8,赞0,11.8,(促进食欲)海南妃子笑荔枝,1518663754,0,,1024522680549777,沈阳,辽宁省,sweet鲜果驿站(中街店)
41,8.8,赞0,8.8,妃子笑荔枝,832505950,0,,1046890870249222,沈阳,辽宁省,王斐水果店
9,11.9,赞0,9.59,妃子笑荔枝1份/约400g,1535572592,0,8.06折,911114069104841,沈阳,辽宁省,地利生鲜（尚品天城店）
4,15,赞0,15,蓝莓茉茉丽妃子笑,1522336416,0,,914365359381663,沈阳,辽宁省,37•2度
19,11.9,赞0,9.59,妃子笑荔枝1份/约400g,1535611964,0,8.06折,855489947641210,沈阳,辽宁省,地利生鲜（骨科店）
